"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\LoginItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 5, 40
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\LogoutModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 75, 0, 14, 89
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ModalContainer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ModalRenderer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\Alert.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\DeleteConfirmComment.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 74, 0, 14, 88
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\ProfileEditor\PhotoEditor.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 9, 10, 67
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\ProfileEditor\ProfileEditor.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 195, 4, 35, 234
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\MoreOption.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 0, 11, 63
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 1, 11, 64
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\NavbarItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 50, 1, 11, 62
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\ProfileHeader.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 158, 5, 37, 200
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\VideoGrid.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 1, 10, 43
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\VideoItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 1, 7, 46
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SearchComponent.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 91, 0, 20, 111
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SideMenu.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 33, 0, 8, 41
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 136, 11, 27, 174
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SidebarSearch.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 0, 11, 63
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SignupForm_email.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 197, 16, 43, 256
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\TimeLine.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 7, 48
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Tooltip.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 3, 27
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\UserSuggested.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 46, 0, 7, 53
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoActions.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 105, 0, 20, 125
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 178, 2, 35, 215
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 10, 64
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoPlayer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 1, 1, 9
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VolumeControl.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 47, 1, 5, 53
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\pages\Upload\UploadZone.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 135, 0, 28, 163
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\layouts\DefaultLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\layouts\SidebarOnlyLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 3, 9, 68
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 177, 0, 3, 36, 216
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentItemSkeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 11, 37
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 429, 0, 21, 67, 517
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\DropDown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 15, 15, 96
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\DropDownItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 21, 176
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\GlobalStyle\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Image.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 8, 34
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\InputRange.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 1, 20, 94
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ModalContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
